population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,302,Doenças diarreicas,1,Número,2023,1107128.3749863298,1535841.4970945364,810533.3541363218
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,319,Febre tifóide,1,Número,2023,71954.70531654547,118560.12445577596,38051.14253171652
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,320,Febre paratifóide,1,Número,2023,10853.374516768508,20939.622513431215,5227.218174753201
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,321,Outras doenças infecciosas intestinais,1,Número,2023,1938.0169637012254,2443.4379738263065,1448.5866790209132
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,322,Infeções de vias aéreas inferiores,1,Número,2023,2501138.5682733757,2811711.568178583,2240273.9879636248
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,328,Infeções de vias aéreas superiores,1,Número,2023,27049.422178616518,77248.7125433149,6099.888776933322
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,329,Otite média,1,Número,2023,652.1845845449672,1695.3587108745392,253.27779606340587
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,332,Meningite,1,Número,2023,258797.6549845189,334586.3777844731,202197.76851552058
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,337,Encefalite,1,Número,2023,76485.41276156591,113364.3852780414,54667.54052297812
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,338,Difteria,1,Número,2023,4007.112255620871,5290.368004334,3005.218332375033
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,339,Coqueluche,1,Número,2023,115242.90566356534,189184.83016744882,66577.32563662523
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,340,Tétano,1,Número,2023,19758.24191108715,31047.520616353555,11735.032880404857
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,341,Sarampo,1,Número,2023,143631.71196662227,255222.86381771596,58561.69681764726
